Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,98.199997,98.290001,96.959999,98.019997,97.604462,5197300
2020-12-01,99.000000,99.260002,98.250000,98.820000,98.401077,4970000
2020-12-02,98.510002,99.040001,98.209999,98.910004,98.490700,3377900
2020-12-03,99.019997,101.000000,98.970001,100.110001,99.685608,6264100
2020-12-04,101.349998,102.940002,101.070000,102.279999,101.846405,6952700
2020-12-07,102.010002,102.220001,100.690002,101.410004,100.980103,4514800
2020-12-08,100.370003,101.570000,100.010002,101.209999,100.780945,3911300
2020-12-09,101.940002,102.209999,100.099998,100.400002,99.974380,6629900
2020-12-10,103.510002,106.089996,102.750000,105.389999,104.943222,12939200
2020-12-11,104.410004,104.779999,102.330002,103.000000,102.563354,6262600
2020-12-14,103.830002,104.709999,103.250000,103.320000,102.881996,5156200
2020-12-15,104.239998,104.860001,103.779999,104.180000,103.738358,5196700
2020-12-16,104.099998,104.800003,102.720001,103.269997,102.832207,6409300
2020-12-17,103.550003,104.040001,102.610001,103.209999,102.772469,4535700
2020-12-18,103.330002,104.110001,102.949997,103.279999,102.842171,10215000
2020-12-21,101.220001,103.150002,100.019997,102.940002,102.503616,7175900
2020-12-22,102.120003,103.169998,101.889999,102.410004,101.975861,4302700
2020-12-23,102.290001,102.690002,101.970001,102.059998,101.627342,3817300
2020-12-24,102.300003,102.360001,101.680000,102.010002,101.577553,1949200
2020-12-28,102.919998,104.379997,102.309998,104.339996,103.897675,5055200
2020-12-29,104.889999,105.779999,104.470001,105.629997,105.182205,4780900
2020-12-30,105.989998,106.620003,105.779999,105.970001,105.520767,3654100
2020-12-31,106.000000,107.139999,105.620003,106.980003,106.526489,3566300
2021-01-04,107.660004,107.750000,102.139999,103.099998,102.662933,8041500
2021-01-05,102.919998,104.260002,102.800003,103.440002,103.001495,5721900
2021-01-06,102.989998,105.209999,102.910004,104.190002,103.748314,5017200
2021-01-07,104.489998,104.639999,102.949997,103.349998,102.911873,5057000
2021-01-08,103.860001,105.760002,103.419998,105.669998,105.222038,5869700
2021-01-11,105.099998,105.639999,104.269997,104.599998,104.156570,4258000
2021-01-12,104.010002,104.320000,102.309998,102.820000,102.384117,4332600
